run_name,group,model_name,dataset_name,final_val_accuracy,final_val_f1,final_val_loss,avg_effective_depth,avg_active_slots,avg_active_think_slots,avg_step_gate,avg_slot_gate,throughput,peak_gpu_memory_mb,parameter_count,approx_flops_per_example,depth_difficulty_corr
twr_backbone_hyperpartisan_lean,hyperpartisan,twr,pietrolesci/hyperpartisan_news_detection,0.5275,0.5536218357086181,1.806482975780964,4.380007352828979,255.0,49.83292678833008,0.8450018453598023,0.3893197453022003,2635.7052802608955,34.3779296875,462920,16777216,0.8799364843964577
twr_backbone_longbench_lsht_lean,longbench,twr,dataset,0.1,0.0,3.3429604053497313,6.189295177459717,253.0,36.249812316894534,0.8648825526237488,0.28543159246444705,1771.7464084181202,39.0205078125,472478,16777216,0.0
twr_backbone_longbench_trec_lean,longbench,twr,dataset,0.18,0.0,3.3970101356506346,5.8601498031616215,506.0,70.90427185058594,0.8100249624252319,0.28025402784347536,1311.372700864486,41.109375,471873,16777216,0.0
twr_backbone_lra_listops,lra,twr,dataset,0.205078125,0.0,2.2067229375243187,2.0,63.0,16.0,1.0,1.0,31175.152184313858,49.7880859375,703114,8388608,0.0
twr_backbone_lra_listops_lean,lra,twr,dataset,0.251953125,0.0,2.0813341215252876,4.6973384618759155,127.0,27.22561490535736,0.9243345968425274,0.42540024034678936,6061.612531261238,37.20458984375,52096,4194304,-0.861693300306797
twr_backbone_lra_listops_lean_fast,lra,twr,dataset,0.244140625,0.0,2.0377364456653595,3.25760318338871,127.0,28.878496408462524,0.752534419298172,0.45122649148106575,9294.255585695022,37.49169921875,71808,4194304,-0.8248182758688927
twr_backbone_lra_listops_lean_queries2,lra,twr,dataset,0.23046875,0.0,2.0544907823204994,4.720131188631058,127.0,27.779637217521667,0.9300328195095062,0.4340568296611309,10302.777299485926,37.44091796875,67536,4194304,0.8170075751841068
twr_backbone_lra_listops_lean_stride1,lra,twr,dataset,0.181640625,0.0,2.19130676984787,4.557027995586395,253.0,52.910494327545166,0.8892569802701473,0.4166180584579706,10467.58968495088,55.625,69200,4194304,-0.8488385230302811
twr_backbone_lra_listops_lean_think2,lra,twr,dataset,0.2109375,0.0,2.1776925548911095,2.7482393831014633,127.0,42.020782709121704,0.8741197027266026,0.656574722379446,15373.03391666392,37.44873046875,69072,4194304,-0.8145083300769329
twr_backbone_lra_listops_lean_think6,lra,twr,dataset,0.2109375,0.0,2.1092453077435493,6.699518203735352,127.0,19.428758144378662,0.9499197341501713,0.3035743460059166,7755.656115088343,37.484375,69328,4194304,-0.8550924770534039
twr_backbone_lra_listops_lean_window6,lra,twr,dataset,0.177734375,0.0,2.2604072391986847,4.6071977615356445,126.0,26.803393959999084,0.9017994478344917,0.4254507254809141,10488.132430397112,42.29443359375,69296,4194304,0.9027285687625408
twr_backbone_ruler_needle_lean,ruler,twr,dataset,0.095703125,0.0,2.791398450732231,6.237117379903793,253.0,36.04246973991394,0.8728529065847397,0.28379895351827145,6664.162322927921,77.82177734375,71494,16777216,-0.4394121700897813
twr_backbone_ruler_needle_lean_1024,ruler,twr,dataset,0.083984375,0.0,2.798242211341858,6.13566592335701,509.0,71.24378728866577,0.8559443391859531,0.27938739862293005,3926.332251628855,77.34814453125,96662,67108864,0.2735414112084982
twr_backbone_ruler_needle_lean_256,ruler,twr,dataset,0.0859375,0.0,2.7848957180976868,6.125393599271774,125.0,18.076101541519165,0.8542322963476181,0.28692223876714706,7776.824103761014,47.28759765625,84374,4194304,0.0
twr_backbone_ruler_needle_lean_fast,ruler,twr,dataset,0.083984375,0.0,2.7807503789663315,5.111430794000626,253.0,42.07063913345337,0.822286169975996,0.3312648683786392,7005.490696533366,79.01318359375,90822,16777216,-0.33420439483597875
twr_backbone_ruler_needle_lean_memory,ruler,twr,dataset,0.0703125,0.0,2.805518612265587,6.861960262060165,257.0,35.9749596118927,0.8374710418283939,0.27887565456330776,5690.55559015951,79.06396484375,92487,16777216,0.24741898046340793
twr_backbone_ruler_needle_lean_queries4,ruler,twr,dataset,0.076171875,0.0,2.8209281861782074,6.13116392493248,253.0,35.727540731430054,0.8551940023899078,0.2813192196190357,7819.823087768744,78.07568359375,86038,16777216,0.3577854526229203
twr_backbone_ruler_needle_lean_stride1,ruler,twr,dataset,0.09765625,0.0,2.9044032096862793,5.719431817531586,505.0,65.70206928253174,0.7865719757974148,0.25969197414815426,5945.870672640742,133.46630859375,88470,16777216,-0.5843444969505072
twr_backbone_ruler_needle_lean_think4,ruler,twr,dataset,0.091796875,0.0,2.789769619703293,4.4101004004478455,253.0,50.863189458847046,0.8525251112878323,0.40049755945801735,10438.685562519424,78.0791015625,88342,16777216,0.05868315667612478
twr_backbone_ruler_needle_lean_think8,ruler,twr,dataset,0.09375,0.0,2.9883859008550644,7.2545415461063385,253.0,25.924994707107544,0.7818176969885826,0.2041338151320815,6295.86977756947,78.1455078125,88598,16777216,-0.3575934268301353
twr_backbone_ruler_needle_lean_window10,ruler,twr,dataset,0.08203125,0.0,2.776266559958458,6.146990418434143,252.0,35.34275555610657,0.857831746339798,0.28049803897738457,7821.063240703751,87.5751953125,88566,16777216,0.8091891556978226
twr_debug,parity_baselines,twr,special_token_parity,0.90234375,0.863286554813385,0.4066588217392564,1.621338278055191,3.0,0.23626101203262806,0.15533456951379776,0.11813050601631403,13769.075069922164,22.95458984375,256808,32768,0.8690548315644264
twr_gmc8c2_d192_hyperpartisan_100ep,hyperpartisan,twr,pietrolesci/hyperpartisan_news_detection,0.5575,0.6460932493209839,0.9859103381633758,4.394440479278565,255.0,51.09270721435547,0.8486101198196411,0.399161776304245,1814.0257863047034,85.35693359375,2282058,50331648,-0.6837857922911644
twr_gmc8c2_d192_longbench_trec_100ep,longbench,twr,dataset,0.26,0.0,3.4483356189727785,5.799367218017578,253.0,33.87236679077149,0.799894540309906,0.2667115330696106,1205.855908294148,104.33447265625,2349306,50331648,0.0
twr_gmc8c2_d192_lra_listops_100ep,lra,twr,dataset,0.3046875,0.0,2.476584702730179,4.48003876209259,127.0,26.936511635780334,0.8700096867978573,0.4208829924464226,7160.052338068061,94.41748046875,718930,12582912,0.9128840453922749
twr_gmc8c2_d192_ruler_needle_100ep,ruler,twr,dataset,0.103515625,0.0,2.9630737006664276,6.41778028011322,253.0,37.24999165534973,0.902963399887085,0.2933070007711649,3050.219049760252,232.07177734375,779864,50331648,-0.1947192302905023
twr_gmc8c2_d320_hyperpartisan_100ep,hyperpartisan,twr,pietrolesci/hyperpartisan_news_detection,0.5675,0.6257065257430077,0.8157980692386627,4.377737264633179,255.0,49.85150482177735,0.8444342994689942,0.38946487665176394,1639.8840351851654,142.869140625,4555722,83886080,-0.5366404711455107
twr_gmc8c2_d320_longbench_trec_100ep,longbench,twr,dataset,0.28,0.0,3.265934247970581,6.11301254272461,253.0,34.14734130859375,0.8521687579154968,0.26887669682502746,1136.750646266521,174.61865234375,4667770,83886080,0.0
twr_gmc8c2_d320_lra_listops_100ep,lra,twr,dataset,0.3046875,0.0,2.154221571981907,4.721281290054321,127.0,28.51637589931488,0.9303203076124191,0.4455683659762144,3971.2436360056913,158.255859375,1953234,20971520,0.21926196129061282
twr_gmc8c2_d320_ruler_needle_100ep,ruler,twr,dataset,0.091796875,0.0,2.8895662128925323,6.4570892453193665,253.0,38.456796169281006,0.9095148965716362,0.3028094097971916,1665.253726419934,388.88671875,2052056,83886080,-0.18149637791793793
twr_gmc8c2_d576_hyperpartisan_100ep,hyperpartisan,twr,pietrolesci/hyperpartisan_news_detection,0.5825,0.566406043767929,0.7743692725896836,4.9328937911987305,255.0,59.40735229492188,0.9832234501838684,0.4641199427843094,799.254246378612,293.2646484375,10921674,150994944,0.9069596388936043
twr_gmc8c2_d576_longbench_trec_100ep,longbench,twr,dataset,0.34,0.0,3.520081443786621,6.213277263641357,253.0,33.545897521972655,0.868879566192627,0.2641409206390381,599.5660976212466,349.64306640625,11123322,150994944,0.0
twr_gmc8c2_d576_lra_listops_100ep,lra,twr,dataset,0.31640625,0.0,2.5393477976322174,4.617739975452423,127.0,26.616973876953125,0.9044349938631058,0.4158902205526829,1643.5247412605866,319.0009765625,6240466,37748736,0.9282092936336994
twr_gmc8c2_d576_ruler_needle_100ep,ruler,twr,dataset,0.095703125,0.0,3.635481372475624,6.2928884625434875,253.0,35.852442026138306,0.8821481056511402,0.2823026832193136,706.5717177799985,730.6025390625,6415064,150994944,-0.4428289448842406
twr_gmc8c2_d960_hyperpartisan_100ep,hyperpartisan,twr,pietrolesci/hyperpartisan_news_detection,0.5825,0.5770900350809097,1.0874026560783385,3.784479947090149,255.0,36.071884841918944,0.6961199843883514,0.28181160509586334,346.3304015925444,566.31103515625,25017162,251658240,0.7856964528560638
twr_gmc8c2_d960_longbench_trec_100ep,longbench,twr,dataset,0.36,0.0,3.214054527282715,6.3153104400634765,253.0,31.576115798950195,0.8858850741386414,0.2486308217048645,283.14645314168325,663.83251953125,25353210,251658240,0.0
twr_gmc8c2_d960_lra_listops_100ep,lra,twr,dataset,0.3125,0.0,2.1203286945819855,4.819442927837372,127.0,29.660001039505005,0.9548607282340527,0.463437519967556,724.2251845680879,614.42626953125,17217874,62914560,0.4468467612750828
twr_gmc8c2_d960_ruler_needle_100ep,ruler,twr,dataset,0.09375,0.0,4.28546829521656,6.058040827512741,253.0,31.188748717308044,0.8430068455636501,0.24558068998157978,313.21566395167343,1299.97119140625,17506136,251658240,-0.7248858958482742
twr_scale11p2m_gm8_lra_listops_100ep,lra,twr,dataset,0.33984375,0.0,2.0140993297100067,6.834190309047699,125.0,19.665907979011536,0.9723650552332401,0.31215725466609,661.8092616837838,592.736328125,11069457,50331648,0.6993749216198921
twr_scale11p2m_lra_listops_100ep,lra,twr,dataset,0.3203125,0.0,2.019387535750866,6.789572358131409,125.0,19.943127632141113,0.9649287313222885,0.3165575675666332,448.5635293673329,724.63671875,11199504,67108864,0.174808520328952
twr_scale11p2m_ruler_needle_100ep,ruler,twr,dataset,0.107421875,0.0,2.8764373511075974,6.657200038433075,253.0,36.66807174682617,0.942866712808609,0.2887249644845724,224.72966925678514,1272.87451171875,11475990,268435456,-0.5879288967698812
twr_scale17p4m_gm8_lra_listops_100ep,lra,twr,dataset,0.33203125,0.0,2.05793996155262,6.929414719343185,125.0,20.49344050884247,0.9882358275353909,0.32529269345104694,620.3416191211145,785.779296875,17245713,62914560,0.047570574446581304
twr_scale17p4m_lra_listops_100ep,lra,twr,dataset,0.3203125,0.0,2.1863105446100235,6.97122448682785,125.0,20.694145679473877,0.9952041022479534,0.3284784834831953,294.6947542801749,950.689453125,17438992,83886080,0.42185876052826643
twr_scale17p4m_ruler_needle_100ep,ruler,twr,dataset,0.087890625,0.0,4.299486503005028,6.107456296682358,253.0,29.41521382331848,0.8512427546083927,0.23161584790796041,148.71387426918923,1636.46435546875,17783574,335544320,-0.937352642416954
twr_scale25m_gm8_lra_listops_100ep,lra,twr,dataset,0.328125,0.0,2.0336908027529716,6.91116401553154,125.0,20.389814972877502,0.9851940162479877,0.32364782877266407,325.39203624872215,994.609375,24785937,75497472,0.64300168864429
twr_scale25m_lra_listops,lra,twr,dataset,0.302734375,0.0,2.064841151237488,6.99834617972374,125.0,20.817201256752014,0.9997243769466877,0.33043174631893635,210.62199282357255,1203.693359375,25054736,100663296,0.20214509626384825
twr_scale25m_lra_listops_100ep,lra,twr,dataset,0.302734375,0.0,2.0950245037674904,6.953375339508057,125.0,20.56189274787903,0.9922292344272137,0.32637923397123814,210.45140348537825,1199.48828125,25054736,100663296,0.0074858249790850095
twr_scale2p8m_gm8_lra_listops_100ep,lra,twr,dataset,0.3046875,0.0,2.1806757748126984,6.78287872672081,125.0,19.607828974723816,0.9638131409883499,0.31123535707592964,1928.7344004709107,261.033203125,2808849,25165824,-0.7795169614255428
twr_scale2p8m_gm8_ruler_needle_100ep,ruler,twr,dataset,0.099609375,0.0,3.6319340020418167,6.426397114992142,253.0,34.72763442993164,0.9043995290994644,0.27344592474400997,1034.933130941177,469.36279296875,2915095,100663296,-0.7705185078084469
twr_scale2p8m_lra_listops_100ep,lra,twr,dataset,0.31640625,0.0,2.339324429631233,6.681761801242828,125.0,18.63435173034668,0.9469603411853313,0.29578334279358387,1415.5510329373606,328.927734375,2849296,33554432,-0.34804581943899393
twr_scale2p8m_ruler_needle_100ep,ruler,twr,dataset,0.09765625,0.0,2.8247001618146896,6.477609068155289,253.0,36.49309253692627,0.9129348285496235,0.2873471714556217,724.6770872262615,603.25732421875,2989590,134217728,-0.5937289819121361
twr_scale57m_lra_listops,lra,twr,dataset,0.302734375,0.0,2.03009844571352,6.984060704708099,125.0,20.80181312561035,0.9973434880375862,0.3301874939352274,145.33590639022216,2074.548828125,56159504,150994944,0.17658124878653325
twr_scale6p3m_gm8_lra_listops_100ep,lra,twr,dataset,0.32421875,0.0,2.2295932099223137,6.8962167501449585,125.0,20.24556040763855,0.9827028177678585,0.3213580809533596,1382.6379465592759,420.162109375,6257169,37748736,-0.3059752241242677
twr_scale6p3m_gm8_ruler_needle_100ep,ruler,twr,dataset,0.103515625,0.0,3.7089675962924957,6.156235307455063,253.0,32.69978642463684,0.8593725673854351,0.2574786189943552,731.5081354845238,728.00341796875,6414487,150994944,-0.6791695542633533
twr_scale6p3m_lra_listops_100ep,lra,twr,dataset,0.318359375,0.0,2.0271586775779724,6.781476318836212,125.0,19.727803468704224,0.9635793939232826,0.3131397217512131,736.0229053180778,516.306640625,6336272,50331648,-0.598160944879055
twr_scale6p3m_ruler_needle_100ep,ruler,twr,dataset,0.095703125,0.0,4.24238321185112,5.398464947938919,253.0,26.472509026527405,0.7330775335431099,0.20844493806362152,369.9664346727111,929.38037109375,6544662,201326592,-0.9378793947398663
